image_id,crop,class,glcm_contrast,glcm_homogeneity,entropy,hue_mean,saturation_mean,value_mean,edge_density,vegetation_index,texture_energy,shape_factor,moisture_proxy,label
SIM_00015,Crop09,Class12,16.249,0.2733,5.9218,64.455,115.3518,116.2417,0.0656,-0.3493,0.3622,0.3906,0.6052,Class12
SIM_00016,Crop03,Class07,20.4399,0.3204,5.1826,115.6225,130.2728,118.5877,0.111,-0.2897,0.125,0.5168,0.5239,Class07
SIM_00017,Crop03,Class11,12.7221,0.3129,5.1637,104.7108,83.371,167.8279,0.1207,0.2377,0.224,0.7793,0.7145,Class11
SIM_00018,Crop03,Class15,8.8733,0.6658,4.687,127.1238,142.3803,178.8701,0.0505,0.2411,0.1625,0.4301,0.7113,Class15
SIM_00019,Crop07,Class10,37.9903,0.6592,6.5348,78.5383,184.9325,207.5999,0.1022,-0.1733,0.1611,0.56,0.6732,Class10
SIM_00020,Crop06,Class03,35.1949,0.5846,6.4185,80.5602,140.4015,150.4516,0.0326,0.0286,0.2894,0.7558,0.2149,Class03
SIM_00021,Crop10,Class05,36.4285,0.6267,5.422,56.9144,119.1912,97.0017,0.0446,-0.4385,0.3023,0.7018,0.8617,Class05
SIM_00022,Crop05,Class03,33.2541,0.6362,6.2547,56.3393,162.7908,117.3189,0.0591,0.1485,0.3087,0.8195,0.3396,Class03
SIM_00023,Crop03,Class05,33.1409,0.6027,5.3338,114.0229,123.7038,102.2621,0.0675,-0.3344,0.3175,0.7541,0.7201,Class05
SIM_00024,Crop01,Class14,28.0145,0.5099,5.922,76.1779,189.5797,142.2329,0.0398,0.2839,0.412,0.2928,0.302,Class14
SIM_00025,Crop01,Class03,37.1409,0.5745,6.2717,43.9496,164.5187,100.7337,0.0542,0.0628,0.3491,0.846,0.3001,Class03
SIM_00026,Crop04,Class14,24.7569,0.3193,5.1413,109.6741,170.258,120.1659,0.0283,-0.0189,0.2675,0.4555,0.3639,Class14
SIM_00027,Crop10,Class05,32.6624,0.4125,4.7326,52.8713,145.2323,111.6106,0.0299,-0.3521,0.2846,0.6912,0.6579,Class05
SIM_00028,Crop06,Class08,21.1627,0.4808,7.0039,147.8504,114.4605,214.3274,0.0266,-0.24,0.1439,0.6291,0.6211,Class08
SIM_00029,Crop09,Class08,20.6345,0.5792,6.8236,115.3421,98.5269,200.085,0.0624,-0.4541,0.1876,0.6706,0.362,Class08
SIM_00030,Crop02,Class02,34.1659,0.6659,6.604,110.7843,134.2976,180.6693,0.0577,-0.0064,0.2298,0.7701,0.3655,Class02
SIM_00031,Crop01,Class03,27.8925,0.566,7.1501,52.8476,163.3124,136.6016,0.0644,0.2308,0.3266,0.6191,0.3139,Class03
SIM_00032,Crop09,Class05,29.628,0.5749,5.2985,99.0023,150.8288,117.1445,0.0537,-0.3956,0.3352,0.5795,0.4058,Class05
SIM_00033,Crop02,Class01,26.071,0.5212,6.8336,114.4898,103.8496,228.841,0.097,0.1717,0.1392,0.71,0.3998,Class01
SIM_00034,Crop01,Class12,22.8941,0.3432,6.3189,12.0541,153.1779,129.7419,0.0493,-0.1121,0.3209,0.3872,0.7306,Class12
SIM_00035,Crop05,Class09,16.3761,0.4536,4.7816,105.0745,176.1829,169.3983,0.0919,0.2327,0.1934,0.4034,0.273,Class09
SIM_00036,Crop10,Class13,36.0934,0.3123,6.2518,26.128,168.0539,126.1836,0.0843,-0.3757,0.1326,0.5614,0.6895,Class13
SIM_00037,Crop07,Class13,21.9012,0.4481,6.4693,82.157,198.3233,136.6525,0.1153,-0.4934,0.1847,0.7232,0.839,Class13
SIM_00038,Crop01,Class06,30.3791,0.5755,6.438,38.6648,141.6077,178.8742,0.0709,-0.0139,0.3583,0.3853,0.4182,Class06
SIM_00039,Crop09,Class13,15.389,0.3552,5.788,46.8875,156.1728,151.5104,0.102,-0.4604,0.308,0.4923,0.6906,Class13
SIM_00040,Crop09,Class01,21.8532,0.3813,7.2641,126.6375,87.9049,156.1928,0.0961,0.1146,0.1919,0.54,0.3499,Class01
SIM_00041,Crop09,Class07,14.7487,0.378,4.7529,89.7513,96.2066,149.824,0.1018,-0.3117,0.1933,0.455,0.3715,Class07
SIM_00042,Crop10,Class10,37.8343,0.5827,6.4224,71.6637,171.3028,162.4079,0.0696,-0.3222,0.1315,0.4042,0.7507,Class10
SIM_00043,Crop03,Class07,20.3561,0.3472,4.5902,140.3435,112.3853,138.4624,0.1256,-0.3522,0.086,0.5267,0.3015,Class07
SIM_00044,Crop10,Class12,31.9827,0.2537,5.1814,54.6136,145.5561,131.7229,0.0275,-0.2107,0.2304,0.3649,0.7679,Class12
SIM_00045,Crop04,Class13,24.2697,0.3215,6.4086,72.3008,168.133,133.5853,0.0657,-0.3059,0.1617,0.6504,0.4998,Class13
SIM_00046,Crop09,Class07,15.4732,0.2717,5.0048,106.4645,97.7447,107.0679,0.1118,-0.383,0.2075,0.387,0.2759,Class07
SIM_00047,Crop06,Class05,25.5697,0.6363,5.3106,88.5978,147.607,144.7002,0.0301,-0.4443,0.3136,0.4607,0.6431,Class05
SIM_00048,Crop08,Class09,18.7744,0.4543,4.775,142.0887,125.1339,134.6965,0.0491,0.0067,0.2233,0.3734,0.2386,Class09
SIM_00049,Crop07,Class14,27.8909,0.5396,5.4424,60.3395,173.3352,141.1833,0.0679,0.0526,0.2704,0.3624,0.7793,Class14
SIM_00050,Crop07,Class15,14.2795,0.6391,6.0778,135.8071,192.6135,177.6075,0.0702,0.0275,0.1244,0.441,0.5174,Class15
SIM_00051,Crop07,Class13,25.1688,0.477,5.4287,57.1588,190.6017,169.8314,0.1192,-0.3245,0.2095,0.6273,0.7913,Class13
SIM_00052,Crop08,Class04,13.6313,0.4744,5.2654,61.4481,143.8168,135.0431,0.0745,-0.0434,0.294,0.8455,0.4246,Class04
SIM_00053,Crop08,Class04,21.8618,0.3796,5.6358,88.473,140.7664,123.6448,0.0735,-0.2306,0.3241,0.691,0.52,Class04
SIM_00054,Crop02,Class09,8.195,0.5638,5.6833,131.4728,164.2132,185.574,0.0578,0.0279,0.2436,0.5132,0.4271,Class09
SIM_00055,Crop09,Class07,15.2337,0.242,5.2712,121.1718,118.9705,137.1556,0.1266,-0.16,0.2441,0.4727,0.2045,Class07
SIM_00056,Crop06,Class10,31.9659,0.6056,6.4174,92.497,191.0144,198.4128,0.0857,0.0238,0.1805,0.2466,0.4578,Class10
SIM_00057,Crop04,Class14,21.9018,0.3941,5.3491,68.6019,149.0457,131.0318,0.0235,0.0136,0.2864,0.4775,0.3773,Class14
SIM_00058,Crop06,Class09,7.7277,0.4444,5.5955,137.5755,123.0622,167.9996,0.034,0.0141,0.1725,0.3509,0.2381,Class09
SIM_00059,Crop10,Class06,36.0653,0.3783,5.7908,26.8607,84.8792,141.3518,0.0892,0.0265,0.2577,0.776,0.6905,Class06
SIM_00060,Crop09,Class14,14.8171,0.3694,5.5894,102.2565,115.704,128.1032,0.0407,0.2086,0.3362,0.3215,0.2694,Class14
SIM_00061,Crop09,Class07,15.8885,0.34,5.1956,97.8132,107.1883,146.4915,0.1128,-0.3026,0.1718,0.4526,0.209,Class07
SIM_00062,Crop05,Class10,39.2617,0.6643,5.9375,36.4394,197.778,193.77,0.1158,-0.2344,0.1976,0.4931,0.8273,Class10
SIM_00063,Crop08,Class03,33.431,0.5253,7.0467,98.7695,148.8087,121.7839,0.0345,-0.108,0.3291,0.9224,0.4206,Class03
SIM_00064,Crop04,Class08,29.6772,0.5079,6.7343,148.9312,154.6527,169.5183,0.0323,-0.3934,0.0786,0.7625,0.4166,Class08
SIM_00065,Crop07,Class07,23.7325,0.4996,4.9162,75.6061,155.3936,143.0566,0.1146,-0.243,0.1341,0.584,0.5501,Class07
SIM_00066,Crop07,Class02,28.2989,0.5925,6.9367,99.8395,115.1571,164.8892,0.058,0.1116,0.1741,0.6034,0.5975,Class02
SIM_00067,Crop03,Class04,9.5058,0.4571,4.4203,94.6511,127.7152,118.7892,0.1137,-0.3817,0.2478,0.6752,0.4508,Class04
SIM_00068,Crop03,Class11,14.0264,0.4062,5.4021,101.2543,96.512,184.5142,0.1062,-0.0102,0.2041,0.6749,0.7159,Class11
SIM_00069,Crop01,Class03,33.4625,0.6289,6.4092,49.6897,164.4829,101.223,0.0587,0.1777,0.3436,0.6597,0.2235,Class03
SIM_00070,Crop02,Class02,26.3229,0.6724,6.7874,84.3004,118.0065,182.3182,0.0384,0.3089,0.2743,0.6356,0.4241,Class02
SIM_00071,Crop05,Class01,29.9161,0.4567,6.8065,94.4537,116.5976,196.2606,0.0924,-0.0299,0.0999,0.7027,0.2578,Class01
SIM_00072,Crop05,Class01,28.5321,0.4597,6.6484,99.1159,112.575,204.9967,0.125,0.0157,0.1618,0.6553,0.3918,Class01
SIM_00073,Crop02,Class07,22.7386,0.4986,5.1292,100.5577,158.3208,189.5007,0.1213,-0.3799,0.1429,0.5262,0.4092,Class07
SIM_00074,Crop05,Class08,25.1472,0.4736,6.8911,100.447,164.7068,195.3643,0.0564,-0.3615,0.1109,0.7654,0.3656,Class08
SIM_00075,Crop07,Class10,31.7399,0.6842,5.8459,102.8274,187.6616,182.596,0.1102,-0.2627,0.1368,0.4286,0.749,Class10
SIM_00076,Crop03,Class09,12.947,0.5066,4.7735,127.1934,113.4978,119.2015,0.0902,-0.1432,0.1101,0.3986,0.3836,Class09
SIM_00077,Crop04,Class09,8.2555,0.4625,4.6208,154.4452,151.3289,120.303,0.0373,0.0392,0.1834,0.3714,0.1406,Class09
SIM_00078,Crop04,Class15,16.1595,0.529,5.726,137.0634,171.4419,177.7568,0.02,0.1526,0.1277,0.3814,0.4737,Class15
SIM_00079,Crop06,Class04,9.6945,0.3579,5.0977,80.4003,138.0475,182.8992,0.0665,0.0758,0.3667,0.6047,0.2871,Class04
SIM_00080,Crop04,Class11,14.9989,0.262,5.3302,132.5123,107.9723,168.5275,0.087,0.0231,0.1507,0.6761,0.495,Class11
SIM_00081,Crop08,Class02,25.8791,0.5232,6.6052,94.0139,114.4694,135.9749,0.0409,0.0544,0.3419,0.7992,0.3546,Class02
SIM_00082,Crop04,Class13,25.1614,0.3011,6.1107,39.9418,195.261,166.8279,0.0573,-0.4296,0.1957,0.5826,0.6192,Class13
SIM_00083,Crop05,Class06,30.0473,0.5017,5.7217,38.5108,103.7172,182.8877,0.0658,-0.1601,0.2387,0.8267,0.4911,Class06
SIM_00084,Crop04,Class06,26.2098,0.3911,5.5667,47.6128,99.565,160.3922,0.0506,-0.1701,0.2531,0.675,0.4737,Class06
SIM_00085,Crop02,Class03,36.1767,0.6425,6.816,76.2042,165.815,163.2691,0.0514,0.1913,0.3055,0.8008,0.2156,Class03
SIM_00086,Crop07,Class08,26.6479,0.6004,5.6637,135.7481,157.982,196.1463,0.0503,-0.404,0.1155,0.8177,0.5661,Class08
SIM_00087,Crop03,Class06,25.6745,0.5519,5.5664,82.5774,107.0942,152.5602,0.079,-0.0244,0.3236,0.7729,0.705,Class06
SIM_00088,Crop03,Class15,3.7338,0.5313,4.8663,133.6069,172.7228,147.7439,0.0934,0.1165,0.1243,0.4325,0.7202,Class15
SIM_00089,Crop08,Class03,33.5922,0.5568,6.682,61.5965,130.0579,113.2911,0.0377,0.2225,0.3103,0.864,0.3163,Class03
SIM_00090,Crop10,Class07,34.6707,0.2817,4.9219,78.2479,89.5654,124.9873,0.0818,-0.2652,0.1031,0.4531,0.4464,Class07
SIM_00091,Crop07,Class14,16.5723,0.5373,5.6268,101.5905,173.3864,145.9045,0.0481,-0.099,0.2766,0.6503,0.6499,Class14
SIM_00092,Crop10,Class13,29.263,0.279,5.1717,20.0213,173.8295,125.1875,0.0687,-0.4431,0.2065,0.592,0.732,Class13
SIM_00093,Crop09,Class12,21.4501,0.366,6.3574,84.474,94.0856,118.6414,0.0469,-0.3484,0.3526,0.3792,0.5463,Class12
SIM_00094,Crop05,Class08,24.5215,0.5489,6.7251,90.7479,150.6263,201.4103,0.0666,-0.3788,0.1317,0.806,0.4395,Class08
SIM_00095,Crop08,Class14,19.9693,0.4004,5.1509,104.4195,136.8825,161.5356,0.037,0.2895,0.3768,0.5678,0.4728,Class14
SIM_00096,Crop04,Class04,16.043,0.44,4.9678,108.8412,171.9327,127.8111,0.081,-0.0981,0.2671,0.7244,0.3566,Class04
SIM_00097,Crop05,Class13,20.8379,0.3729,5.9751,35.1751,185.2602,167.4495,0.1134,-0.4601,0.1187,0.6185,0.7205,Class13
SIM_00098,Crop06,Class09,12.728,0.4774,5.4425,128.4884,109.8248,178.8756,0.0399,0.2225,0.2499,0.3573,0.1888,Class09
SIM_00099,Crop10,Class06,38.5535,0.4811,5.688,40.1556,80.2051,162.8936,0.07,-0.1519,0.2744,0.6975,0.6236,Class06
SIM_00100,Crop09,Class04,18.5292,0.4106,5.374,83.2231,131.7116,107.5725,0.0996,-0.3622,0.3812,0.7214,0.2721,Class04
SIM_00101,Crop05,Class08,27.9619,0.5018,6.4011,92.3798,136.0681,197.9695,0.0517,-0.3878,0.122,0.7774,0.4471,Class08
SIM_00102,Crop07,Class01,28.116,0.5885,6.5485,143.7917,107.3851,210.6802,0.1247,0.1313,0.1617,0.6756,0.6328,Class01
SIM_00103,Crop03,Class11,21.9691,0.3307,4.9035,100.9816,109.9294,149.8614,0.0953,-0.1172,0.1324,0.6956,0.5762,Class11
SIM_00104,Crop09,Class04,9.4094,0.3781,5.4274,40.7462,105.0029,112.2284,0.0949,-0.2336,0.3937,0.7857,0.2683,Class04
SIM_00105,Crop06,Class06,21.5511,0.4177,6.2386,77.8501,101.1083,220.0957,0.0362,0.014,0.3767,0.4802,0.4809,Class06
SIM_00106,Crop06,Class03,34.3758,0.6391,7.054,90.9818,99.8684,129.1769,0.0558,-0.0043,0.3444,0.4914,0.2109,Class03
SIM_00107,Crop08,Class07,23.9323,0.3848,4.8377,92.2911,92.2893,156.4983,0.1005,-0.3628,0.1663,0.6221,0.3531,Class07
SIM_00108,Crop07,Class06,29.6773,0.5384,5.8332,78.2553,130.5487,190.2648,0.1026,-0.2342,0.2845,0.7754,0.5664,Class06
SIM_00109,Crop01,Class03,31.4517,0.6628,7.0554,25.8313,184.3227,122.5609,0.0539,0.0022,0.3731,0.6668,0.2587,Class03
SIM_00110,Crop03,Class14,12.3539,0.3915,5.7829,100.5203,129.9293,131.9247,0.046,0.058,0.3056,0.4044,0.5883,Class14
SIM_00111,Crop02,Class12,27.972,0.4124,6.2641,66.7601,159.6323,163.4173,0.07,-0.4096,0.2382,0.4954,0.6408,Class12
SIM_00112,Crop08,Class06,21.5026,0.4939,6.0474,52.575,137.6576,146.3758,0.0697,-0.2017,0.3435,0.7062,0.5879,Class06
SIM_00113,Crop01,Class01,28.2127,0.5737,6.7713,71.4003,129.4081,190.5253,0.0787,-0.0165,0.1922,0.5736,0.343,Class01
SIM_00114,Crop03,Class13,16.9024,0.4748,5.0124,55.7203,175.2754,138.7795,0.1124,-0.3988,0.2126,0.6007,0.8451,Class13
SIM_00115,Crop06,Class11,19.6169,0.3661,6.1831,138.0548,122.2766,205.1833,0.0569,0.1716,0.2436,0.6424,0.3339,Class11
SIM_00116,Crop07,Class09,12.2963,0.5719,5.1895,133.6824,158.1169,163.1287,0.0982,-0.1111,0.1381,0.5858,0.2983,Class09
SIM_00117,Crop06,Class10,37.5305,0.6464,6.8593,105.282,141.4646,194.8445,0.0789,-0.0944,0.2002,0.3212,0.5941,Class10
SIM_00118,Crop09,Class01,20.935,0.4207,6.939,126.4934,93.0728,183.5677,0.121,0.0786,0.2563,0.3528,0.3527,Class01
SIM_00119,Crop10,Class08,32.0009,0.3494,6.5357,100.9855,86.4887,174.7775,0.0405,-0.4567,0.0956,0.5897,0.5085,Class08
SIM_00120,Crop02,Class03,33.3522,0.6823,6.8915,54.2099,163.1212,133.7702,0.0416,-0.1306,0.3632,0.8593,0.4085,Class03
SIM_00121,Crop10,Class10,37.0201,0.5393,5.4786,32.3297,164.7373,164.0837,0.0546,-0.2865,0.1293,0.4682,0.7036,Class10
SIM_00122,Crop07,Class14,24.0706,0.5546,5.3148,103.866,138.8112,141.6334,0.0722,0.206,0.3231,0.5776,0.4668,Class14
SIM_00123,Crop07,Class08,21.7941,0.5534,7.1052,128.8349,160.1054,193.9635,0.0701,-0.4509,0.0931,0.5711,0.6822,Class08
SIM_00124,Crop01,Class10,30.6531,0.563,6.7326,59.1796,203.8345,191.9934,0.0873,-0.2393,0.2442,0.3458,0.3916,Class10
SIM_00125,Crop07,Class11,20.7205,0.4959,5.8029,135.4281,142.122,150.6534,0.129,-0.0082,0.2276,0.6484,0.4905,Class11
SIM_00126,Crop08,Class14,28.1807,0.3919,5.3069,104.1321,160.2061,165.7575,0.0394,0.0901,0.3785,0.5575,0.3573,Class14
SIM_00127,Crop06,Class01,32.7769,0.2923,6.9828,128.4737,100.6768,221.8674,0.078,0.2762,0.1752,0.4848,0.5012,Class01
SIM_00128,Crop01,Class05,24.0944,0.4497,5.8061,47.8227,176.7709,106.7521,0.0663,-0.478,0.381,0.6122,0.4935,Class05
SIM_00129,Crop06,Class05,30.7008,0.6049,5.7793,89.5507,153.5583,158.1374,0.0444,-0.4388,0.3312,0.4524,0.5474,Class05
SIM_00130,Crop10,Class11,31.2727,0.2714,4.892,86.0735,90.2531,189.2649,0.1037,0.14,0.1784,0.8021,0.6274,Class11
SIM_00131,Crop08,Class07,17.9317,0.3456,4.7566,106.5443,124.5493,125.2348,0.0984,-0.2036,0.1876,0.5707,0.3899,Class07
SIM_00132,Crop02,Class12,20.4344,0.3502,6.1084,63.5369,165.545,152.562,0.0483,-0.1981,0.3301,0.4384,0.6079,Class12
SIM_00133,Crop10,Class08,30.8099,0.3978,6.2536,95.2502,114.5298,157.5781,0.0312,-0.2506,0.1003,0.615,0.3934,Class08
SIM_00134,Crop10,Class15,17.1591,0.4971,4.8907,110.6163,140.1187,176.3734,0.0271,0.0839,0.1342,0.4037,0.5756,Class15
SIM_00135,Crop02,Class12,27.179,0.4362,5.6226,50.3562,154.315,158.5998,0.0559,-0.3798,0.233,0.4328,0.6046,Class12
SIM_00136,Crop09,Class01,28.4354,0.4159,6.1692,118.3752,89.4741,160.2246,0.1156,0.181,0.1981,0.4282,0.179,Class01
SIM_00137,Crop05,Class15,15.5934,0.6434,6.05,84.1809,163.2686,206.9307,0.0565,0.203,0.1475,0.4694,0.5885,Class15
SIM_00138,Crop06,Class15,13.6059,0.4821,5.206,93.5287,144.9204,193.2876,0.0346,0.2804,0.1935,0.3116,0.4465,Class15
SIM_00139,Crop05,Class01,29.8783,0.5651,6.8498,84.5727,111.9456,218.3577,0.1152,-0.0799,0.1457,0.774,0.4974,Class01
SIM_00140,Crop08,Class06,32.4621,0.5599,6.6505,79.0002,105.7262,143.0021,0.071,0.0787,0.3363,0.6046,0.4895,Class06
SIM_00141,Crop10,Class15,21.4816,0.3808,5.1039,92.2995,157.8189,185.3528,0.0295,0.1889,0.1375,0.4157,0.6364,Class15
SIM_00142,Crop08,Class13,26.901,0.2807,6.29,68.5703,183.9248,120.5095,0.0975,-0.3744,0.3314,0.7134,0.658,Class13
SIM_00143,Crop10,Class08,25.2231,0.4323,6.392,81.2953,117.6722,157.9293,0.0452,-0.3453,0.0841,0.6063,0.7053,Class08
SIM_00144,Crop10,Class09,24.2552,0.3111,4.4933,92.5192,97.897,118.5475,0.0426,-0.0566,0.1944,0.5357,0.3103,Class09
SIM_00145,Crop01,Class01,23.3724,0.5224,7.1827,92.6498,139.151,182.2003,0.1035,-0.0292,0.2207,0.4367,0.3352,Class01
SIM_00146,Crop03,Class09,14.6547,0.4823,4.4123,133.46,123.994,130.0095,0.0773,0.1213,0.1758,0.3872,0.3429,Class09
SIM_00147,Crop08,Class10,23.6818,0.6136,6.4591,68.7206,186.735,180.5406,0.0841,-0.1631,0.2307,0.4563,0.6564,Class10
SIM_00148,Crop06,Class06,23.5975,0.4239,6.4757,82.4508,91.6219,202.6792,0.0717,0.1316,0.3411,0.5773,0.3974,Class06
SIM_00149,Crop01,Class05,30.5397,0.5977,5.4042,60.2585,185.2844,112.9365,0.0685,-0.4459,0.3153,0.4996,0.3344,Class05
SIM_00150,Crop01,Class13,24.4115,0.4202,6.6927,44.3801,190.3669,133.7542,0.1112,-0.2869,0.2314,0.4885,0.4028,Class13
SIM_00151,Crop06,Class07,18.7272,0.4378,6.0207,108.1982,88.0372,167.813,0.0877,-0.2449,0.1356,0.3292,0.3086,Class07
SIM_00152,Crop07,Class04,17.0878,0.4898,5.0264,69.0523,139.7343,122.0697,0.1155,-0.2712,0.2072,0.8339,0.5293,Class04
SIM_00153,Crop02,Class06,23.5097,0.5214,6.1941,77.0758,118.5072,196.673,0.0758,-0.2019,0.3854,0.7458,0.4219,Class06
SIM_00154,Crop02,Class08,27.0791,0.6187,6.85,144.0224,191.0999,206.852,0.0461,-0.4429,0.1213,0.8194,0.4051,Class08
SIM_00155,Crop02,Class04,21.8763,0.5989,5.2418,49.9993,183.5388,154.4672,0.0869,-0.2418,0.3576,0.8261,0.4122,Class04
SIM_00156,Crop06,Class09,11.6784,0.5403,5.7207,141.1992,165.2345,169.237,0.054,0.0772,0.2707,0.2764,0.238,Class09
SIM_00157,Crop01,Class13,32.772,0.5209,6.548,25.2812,199.6621,130.9386,0.1151,-0.2977,0.3033,0.6047,0.7166,Class13
SIM_00158,Crop06,Class12,24.3679,0.3291,5.6141,63.3977,110.773,160.3449,0.0323,-0.3979,0.3133,0.3746,0.6201,Class12
SIM_00159,Crop05,Class04,9.2954,0.4667,4.8137,29.0719,176.1322,112.9222,0.096,-0.1129,0.2508,0.7439,0.5403,Class04
SIM_00160,Crop05,Class08,28.9797,0.5653,6.664,91.1191,167.6499,218.9695,0.0432,-0.428,0.1156,0.7776,0.5318,Class08
SIM_00161,Crop07,Class09,13.4967,0.6379,5.5265,151.2633,133.5269,133.9513,0.0671,0.0424,0.134,0.3891,0.2952,Class09
SIM_00162,Crop06,Class11,30.1377,0.3314,5.763,108.373,110.8711,191.72,0.0648,0.1045,0.2614,0.4549,0.5641,Class11
SIM_00163,Crop08,Class12,24.8015,0.2791,6.1049,56.2384,136.1107,151.709,0.0256,-0.2362,0.2666,0.4552,0.8226,Class12
SIM_00164,Crop08,Class08,20.555,0.5339,6.6297,135.0959,132.5965,181.5364,0.0652,-0.2679,0.1559,0.7181,0.4111,Class08
SIM_00165,Crop10,Class05,39.0726,0.5577,5.455,27.4911,147.7149,119.446,0.0385,-0.2668,0.2046,0.7423,0.5861,Class05
SIM_00166,Crop08,Class10,34.746,0.6252,6.8824,96.2288,182.7854,175.2658,0.0893,-0.1313,0.2683,0.5807,0.5808,Class10
SIM_00167,Crop06,Class02,31.2996,0.5058,6.4508,120.083,122.9302,200.9925,0.0403,0.1841,0.3038,0.5253,0.3262,Class02
SIM_00168,Crop05,Class11,23.0619,0.4369,5.9347,90.8092,112.5042,186.7081,0.1183,0.1776,0.1786,0.6496,0.6891,Class11
SIM_00169,Crop03,Class14,20.2322,0.5048,4.7013,99.6933,137.6074,139.6738,0.0476,0.0875,0.2786,0.5524,0.7178,Class14
SIM_00170,Crop06,Class11,16.0579,0.284,5.6724,119.1,93.884,199.8723,0.0644,0.2043,0.242,0.7245,0.4809,Class11
SIM_00171,Crop02,Class07,18.2921,0.3937,5.3967,91.7892,155.2724,178.3544,0.0849,-0.3557,0.1581,0.5451,0.2683,Class07
SIM_00172,Crop10,Class13,32.1228,0.2662,5.7219,30.2743,182.4862,134.3949,0.0707,-0.2672,0.1761,0.6634,0.7329,Class13
SIM_00173,Crop09,Class08,23.5683,0.367,6.7818,138.0657,102.1532,157.4034,0.0606,-0.4669,0.1447,0.6643,0.354,Class08
SIM_00174,Crop02,Class09,12.3303,0.5824,5.7642,123.8913,139.9087,161.143,0.0714,0.0338,0.2334,0.3579,0.3065,Class09
SIM_00175,Crop08,Class13,19.643,0.4433,6.4396,55.6241,195.4527,155.1766,0.1018,-0.4637,0.2305,0.6088,0.6943,Class13
SIM_00176,Crop02,Class03,34.3277,0.6653,6.8952,60.0396,169.57,165.7679,0.0477,-0.0217,0.3225,0.8415,0.3204,Class03
SIM_00177,Crop08,Class12,15.182,0.2507,6.1128,84.5551,169.6681,141.3181,0.0357,-0.3433,0.2355,0.3947,0.7288,Class12
SIM_00178,Crop01,Class11,21.7416,0.5256,5.7381,62.8598,132.0784,179.11,0.0967,0.0994,0.2493,0.5488,0.4541,Class11
SIM_00179,Crop05,Class08,32.9609,0.532,6.8078,80.3117,143.7415,214.5513,0.0465,-0.4486,0.1454,0.7916,0.4188,Class08
SIM_00180,Crop07,Class02,31.8184,0.6016,6.8904,126.2476,130.5104,180.6387,0.0611,0.1359,0.1864,0.8844,0.5359,Class02
SIM_00181,Crop08,Class12,11.4832,0.3975,5.7506,56.2043,135.8673,144.5737,0.0365,-0.3543,0.2729,0.489,0.6735,Class12
SIM_00182,Crop05,Class04,22.9611,0.4978,5.3453,42.9725,154.0735,130.1194,0.1248,-0.1016,0.3371,0.8531,0.3256,Class04
SIM_00183,Crop10,Class14,21.3524,0.3044,5.2234,48.4905,113.4366,101.3487,0.0283,-0.0252,0.2556,0.4821,0.4993,Class14
SIM_00184,Crop08,Class12,18.4672,0.3181,6.061,56.0932,167.8195,120.6271,0.032,-0.4211,0.2292,0.5413,0.6369,Class12
SIM_00185,Crop03,Class06,17.8045,0.5115,5.9349,96.2754,102.2737,140.3883,0.0982,-0.0458,0.2509,0.6909,0.5442,Class06
